fold,loss_train,loss_test,r_train,r_test,mae,rmse
0,231.94955444335938,2781.0,0.9976296196573684,0.9588059723566416,36.9965039311623,52.73285388139579
1,246.03355407714844,1748.9461669921875,0.9973904126941532,0.9746260482619372,28.0629568294603,41.81909778293792
2,215.35984802246094,1775.494384765625,0.9976971655705773,0.9769477065197656,28.97353786546357,42.14256667925111
3,264.1922302246094,8026.19140625,0.9971180567750831,0.9311835993923908,44.151093228658034,89.58901498480427
4,255.52696228027344,3758.754150390625,0.9972776288551174,0.957038908039151,40.07901973724365,61.308679041261485
5,238.39547729492188,1449.0286865234375,0.9972569110824816,0.9893738348360666,27.33914591471354,38.06610897030045
6,173.82662963867188,5075.83642578125,0.9982061754101663,0.9366954180935461,45.05700346628824,71.24490388263658
7,251.75254821777344,7199.166015625,0.997191285135393,0.9230963611010952,41.6446725209554,84.8478958129796
8,237.64723205566406,2096.517333984375,0.9974093007216315,0.9717350916723979,30.098277409871418,45.787740276144504
9,209.1111602783203,2791.3095703125,0.9977642784972377,0.9691260415813329,33.01296412150065,52.832845311914326
